Urgence du vieillissement démographique, du développement endogène et de l'attractivité;
Sortir progressivement d'une économie de comptoir pour miser sur la production martiniquaise, car sans économie endogène forte il n'y a pas de réelles perspectives de développement.;#organisation #agriculture #industrie #attractivite
Prioriser les filières créatrices d'emplois telles que la transition écologique, le numérique, le BTP viable, le bois, le sport santé, le tourisme patrimonial et culturel, la sénior économie par le financement de dispositifs et d'aides spécifiques.;#entreprise #numerique #innovation #emploi # agriculture #peche #btp #ecologie #tourisme #sport #sante #culture
Renforcer le soutien aux entreprises et honorer les délais de paiement afin de ne pas pénaliser les entreprises, qui n'ont pas à être les banquiers de la CTM.;#emploi #entreprise #organisation
Respecter et faire respecter le principe de priorité martiniquaise à l'embauche pour fixer et favoriser le retour au pays de nos jeunes.;#entreprise #emploi #jeunes #attractivite
Assurer une adéquation entre les besoins du territoire et l'offre de formation.;#formation #emploi #entreprise #jeunes
Urgence de la cohésion sociale et des solidarités;
Garantir à chacun l'accès aux réseaux d'eau, d'assainissement, d'électricité, de transport et au numérique en mettant en oeuvre des mesures ciblées et innovantes.;#social #equilibre #innovation
Faciliter l'accès à la propriété pour les locataires de logements sociaux de plus de 10 ans et pour les occupants sans titre de la zone des 50 pas.;#habitat #social #seniors
Améliorer la qualité de vie des martiniquais les plus vulnérables par la réorganisation et l'humanisation des moyens de l'action médico-sociale, de l'aide aux seniors, aux personnes en situation de handicap et aux bénéficiaires de la protection de l'enfance.;#sante #social #seniors #equilibre #handicap
Urgence sanitaire;
Lancer le chantier de la modernisation du réseau d'eau potable via un plan pluriannuel d'investissement.;#travaux #securite #economie #btp
Contribuer à la mise en place d'une autorité unique de l'eau.;#social #service public
Soutenir la recherche en dépollution des sols et des milieux aquatiques;#sante #mer #innovation
Contribuer au développement d'un réseau médical spécialisé et de proximité sur le territoire Nord.;#sante #equilibre #securite #risques majeurs
Urgence d'une production martiniquaise nourricière et saine;
Relever le défi de la souveraineté alimentaire en priorisant le développement d'une production martiniquaise saine.;#agriculture #securite #dependances #sante
Accompagner la structuration des filières de diversification, de transformation, et l'organisation des circuits courts.;#agriculture #industrie #entreprises #innovation
Protéger les terres agricoles et prioriser l'accès au foncier pour les jeunes agriculteurs.;#agriculture #aide #jeunes
Valoriser et développer les métiers de la pêche et de l'agriculture. Fini les promesses non tenues aux marins pêcheurs et aux agriculteurs ! Place aux actions concrètes de financement et d'accompagnement.;#agriculture #peche #formation
Urgence de l'aménagement et de l'environnement;
Faire le choix d'une politique innovante de l'aménagement qui repose sur le principe du ménagement du territoire pour répondre aux besoins réels des martiniquais, tout en préservant l'environnement et en réduisant notre dépendance aux énergies fossiles.;#transport #social #service public #equilibre #dependances
Instaurer une gestion plus cohérente des modes de déplacement et des infrastructures routières.;#transport #equilibre #mer
Assurer une implantation plus équilibrée, des équipements sportifs, culturels, médico-sociaux et des services administratifs sur tous les territoires (Nord/Sud/Centre).;#equilibre #social #service public #sport #culture #attractivite
Urgence climatique et des risques majeurs;
Préparer les martiniquais aux risques climatiques, environnementaux, industriels et technologiques dès le plus jeune âge.;#ecologie #risques majeurs #education
Intensifier la sécurisation du bâti en promouvant en particulier les technologies anti-écrasement.;#habitat #risques majeurs #btp #innovation
Urgence de l'éducation, du sport, de la culture et de l'identité;
Doter les établissements scolaires des moyens humains et matériels (laboratoires, outils numériques...) nécessaires à l'enrichissement de leurs projets éducatifs, en lien avec notre histoire et notre environnement;#education #numerique #jeunes #culture #ecologie #identite
Impulser une politique publique ambitieuse, en concertation avec tous les acteurs de terrain en intensifiant l'aide aux associations sportives et culturelles qui constituent le ciment de notre équilibre sociétal.;#associations #culture #sport #social
Défendre notre identité par une reconnaissance et un soutien prioritaires aux acteurs de la culture et de la valorisation du patrimoine.;#culture #identite #tourisme
Urgence d'une vraie démocratie et d'une organisation efficiente de la CTM;
Réorganiser le fonctionnement administratif de la CTM pour plus de fluidité et d'efficacité. Les délais de traitement des dossiers sont trop longs !;#organisation #entreprises #associations
Privilégier la collégialité et la responsabilité partagée entre l'Exécutif, l'Assemblée et le Conseil Consultatif.;#organisation #democratie #equilibre
Établir un organigramme qui n'exclut aucune compétence. Remobiliser et respecter le personnel et ses instances représentatives.;#organisation
Instaurer une culture de la co-élaboration et de l'évaluation des politiques publiques avec les citoyens.;#organisation #democratie #innovation
